author,occupation,description,gender
Jane Goodall,Primatologist; environmentalist,"Jane Goodall, dubbed by her biographer ""the woman who redefined man,"" has changed our perceptions of primates, people, and the connection between the two. Over the past 45 years, Goodall herself has also evolved _ã from steadfast scientist to passionate conservationist and humanitarian.",female
Jane McGonigal,Game Designer,"Reality is broken, says Jane McGonigal, and we need to make it work more like a game. Her work shows us how.",female
Jane Poynter,Biospherian,"After weathering two years in Biosphere 2, Jane Poynter is trying to create technologies that allow us to live in hostile environments _ã like outer space. ",female
Janet Echelman,Artist,"American artist Janet Echelman reshapes urban airspace with monumental, fluidly moving sculpture that responds to environmental forces including wind, water, and sunlight.",female
Janine di Giovanni,Reporter,Janine di Giovanni reports from war zones around the world.,female
Janine Shepherd,Pilot,Athlete Janine Shepherd was rendered a partial paraplegic when she was hit by a truck during an Olympic training bike ride. Doctors didn't expect her to recover. But she not only learned to walk again _ã she learned to fly.,female
Janna Levin,Physicist,"Janna Levin is a professor of physics and astronomy at Barnard, where she studies the early universe, chaos, and black holes. She's the author of  _ãHow the Universe Got Its Spots"" and the novel _ãA Madman Dreams of Turing Machines._ã",female
Jedidah Isler,Astrophysicist,"Jedidah Isler studies blazars _ã supermassive hyperactive black holes that emit powerful jet streams. They are the universe_ã_s most efficient particle accelerators, transferring energy throughout galaxies.",female
Jehane Noujaim,Filmmaker,"2006 TED Prize winner Jehane Noujaim is the gutsy filmmaker responsible for Control Room, an astonishing documentary about Al Jazeera's coverage of the Iraq war and the contrasting notions of truth expressed in the US media. ",female
Jennifer Pahlka,Code activist,"Jennifer Pahlka is the founder of Code for America, which matches software geniuses with US cities to reboot local services.",female
Jenna McCarthy,Writer,"Jenna McCarthy writes about relationships, marriage and parenting.",female
Jennifer 8. Lee,Reporter,"The possessor of the best byline in the New York Times, Jennifer 8. Lee reports on culture and city life. Her latest book is The Fortune Cookie Chronicles.",female
Jennifer Doudna,Biologist,Jennifer Doudna was part of inventing a potentially world-changing genetic technology: the gene editing technology CRISPR-Cas9.,female
Jennifer Golbeck,Computer scientist,"As the director of the Human-Computer Interaction Lab at the University of Maryland, Jennifer Golbeck studies how people use social media _ã and thinks about ways to improve their interactions.",female
Jennifer Granholm,Former governor of Michigan,"A former two-term governor of Michigan, Jennifer M. Granholm makes the case for empowering states to create jobs through a Clean Energy Jobs Race to the Top.",female
Jennifer Lin,"Pianist, composer","Concert pianist and composer Jennifer Lin was only 14 when she performed at TED, drawing tears with her extraordinary improvisation.",female
Jennifer Senior,Writer,"In her new book ""All Joy and No Fun,"" Jennifer Senior explores how children reshape their parents' lives _ã for better and worse.",female
Jessa Gamble,Writer,"Jessa Gamble writes about sleep and time, showing how our internal body clock struggles against our always-on global culture.",female
Jessi Arrington,Designer,Jessi Arrington is a color-loving designer based in Brooklyn.,female
Jessica Green,Engineer and biodiversity scientist,"Jessica Green wants people to understand the important role microbes play in every facet of our lives: climate change, building ecosystems, human health, even roller derby _ã using nontraditional tools like art, animation and film to help people visualize the invisible world.",female
Jessica Ladd,"Founder and CEO, Sexual Health Innovations",Jessica Ladd is using technology to advance sexual health in the US.,female
Jessica Shortall,"Strategy consultant, social entrepreneur and author",Jessica Shortall is a working mom of two and author of Work. Pump. Repeat: The New Mom's Survival Guide to Breastfeeding and Going Back to Work.,female
Ji-Hae Park,Violinist,Ji-Hae Park spreads the joy of classical to music to those who might not otherwise hear it _ã and in the process shows that you can rock out on the violin.,female
Jill Bolte Taylor,Neuroanatomist,Brain researcher Jill Bolte Taylor studied her own stroke as it happened _ã and has become a powerful voice for brain recovery.,female
Jill Tarter,Astronomer,"SETI's Jill Tarter has devoted her career to hunting for signs of sentient beings elsewhere, and almost all aspects of this field have been affected by her work.",female
Jill Shargaa,Comedian + Designer,"Jill Shargaa is a woman of multiple talents. A seasoned comedian, she founded the all-female comedy revue, Evening of Estrogen. She is also an illustrator and designer who brings a pulp sensibility to her work.",female
Jill Sobule,Singer/songwriter,"Jill Sobule isn't just another singer-songwriter with catchy tunes and smart lyrics, she's one of the more insightful satirists of our age. Each of her fanciful songs captures an issue or irony, an emotion or epiphany that helps us understand what it's like to live now.",female
Joan Halifax,"Author, Zen priest","Known for her compassionate work with the terminally ill, Joan Halifax is a driving force of socially engaged Buddhism.",female
JoAnn Kuchera-Morin,Composer,Composer JoAnn Kuchera-Morin is the director of the Center for Research in Electronic Art Technology (CREATE) at UC Santa Barbara.,female
Jocelyne Bloch,Functional neurosurgeon,Jocelyne Bloch is helping to unlock potential self-healing capacities of the human brain.,female
Jody Williams,Nobel peace laureate,"Jody Williams won a Nobel Peace Prize for her efforts to eradicate landmines. Now she_ã_s teaming up with five other female peace laureates to empower women to fight violence, injustice and inequality.",female
Johanna Blakley,Media maven,Johanna Blakley studies the impact of mass media and entertainment on our world.,female
Josette Sheeran,Anti-hunger leader,"Our generation is the first in history with enough resources to eradicate hunger worldwide. Josette Sheeran, the former head of the UN World Food Programme, shares a plan.",female
Julia Bacha,Filmmaker,"Julia Bacha is the Media Director at Just Vision and the director and producer of ""Budrus,"" a documentary about a West Bank village, a giant barrier and nonviolent resistance.",female
Julia Sweeney,"Actor, comedian, playwright","Julia Sweeney creates comedic works that tackle deep issues: cancer, family, faith. ",female
Juliana Machado Ferreira,Biologist,"Brazilian-born biologist Juliana Machado Ferreira wants, simply, to save the world one bird at a time. She is a TED Senior Fellow.",female
Juliana Rotich,Tech entrepreneur,"Juliana Rotich is the co-founder of Ushahidi, open-source software for collecting and mapping information _ã and of iHub, a collective tech space in Nairobi, Kenya. She is a TED Senior Fellow.",female
Julie Burstein,Writer and radio producer,"As a producer, Julie Burstein builds places to talk (brilliantly) about creative work. Her book ""Spark: How Creativity Works"" shares what she has learned.",female
Julie Taymor,"Director, designer","Julie Taymor is a film, theater and opera director. She is known for lavish movies such as Frida and for her hit Broadway musicals, The Lion King and Spider-Man: Turn Off the Dark.",female
Kakenya Ntaiya,Educator and activist,Kakenya Ntaiya refused to accept the continued oppression of women in her Maasai village _ã so she built a school that's shifting gender expectations in her community.,female
Kaki King,Guitarist,"Kaki King combines jaw-dropping guitar work with dreamy, searching songwriting.",female
Kare Anderson,Writer,"A columnist for Forbes, Kare Anderson writes on behavioral research-based ways to become more deeply connected.",female
Karen Armstrong,Religious scholar,"Karen Armstrong is a provocative, original thinker on the role of religion in the modern world.",female
Karen Bass,Natural history filmmaker ,Karen Bass has traveled the world to explore and capture footage from every environment across the Earth.,female
Karen Thompson Walker,Novelist,Fiction writer Karen Thompson Walker explores the connection between fear and the imagination.,female
Karen Tse,Anti-torture activist,"In too many countries, it's still normal to torture prisoners for confessions and information. Karen Tse works to end that.",female
Karima Bennoune,Professor of international law,Karima Bennoune's new book introduces the world to people who speak out against fundamentalist terrorism.,female
Kate Orff,Landscape architect,Kate Orff asks us to rethink _ãlandscape_ã_ãto use urban greenspaces and blue spaces in fresh ways to mediate between humankind and nature.,female
Kate Stone,Shepherd of electrons,"At Novalia, Kate Stone and her team use ordinary printing presses to manufacture interactive electronics, which combine touch-sensitive ink technology and printed circuits into unique and cost-effective products.",female
Katherine Fulton,New philanthropist,"President of Monitor Institute, Katherine Fulton is also a strategist, author, teacher and speaker working for social change.  ",female
Kathryn Schulz,Wrongologist,"Kathryn Schulz is a staff writer for the New Yorker and is the author of ""Being Wrong: Adventures in the Margin of Error.""",female
Kavita Ramdas,Philanthropist,"Kavita Ramdas directs the Global Fund for Women, the largest foundation in the world supporting women's human rights across all borders.",female
