subject,verb,object
it,heats,[water]
we,did,[comparisons]
briquettes,crumbled,[energy]
we,lost,[energy]
we,wanted,"[to, try, to, find, a, way, to, make, a, stronger, briquette, so, that, we, could, compete, with, wood, charcoal, in, the, markets, in, Haiti]"
we,took,"[Instron, machine]"
we,figured,"[Instron, machine]"
you,needed,[sort]
you,getting,"[that, performance]"
we,had,[students]
we,had,"[community, partners]"
we,developed,"[cost, press]"
you,produce,[charcoal]
it,burns,[cleaner]
we,have,[product]
you,buy,[what]
this,implemented,[portion]
this,saving,[portion]
I,have,[friend]
who,doing,"[risk, analysis]"
you,prevent,[deaths]
we,have,[way]
that,using,"[waste, material]"
I,took,[that]
you,saw,[what]
you,imagine,[thing]
you,need,"[to, form, briquettes]"
I,brought,[samples]
we,pass,[these]
I,think,[one]
we,have,"[to, teach, people, how, to, form, it, into, briquettes]"
you,have,[step]
you,see,[it]
you,have,"[health, benefits]"
you,have,[benefits]
you,have,[benefits]
People,make,"[cooking, fuel]"
They,generate,[income]
They,save,[money]
they,going,"[that, to, spend, on, charcoal]"
they,produce,[excess]
They,sell,[it]
who,making,[own]
you,have,"[trade, offs]"
I,find,[that]
it,takes,[us]
I,mean,[world]
I,mean,[world]
women,spend,[hours]
I,mean,[world]
materials,means,"[roofing, tiles]"
that,made,[hand]
you,work,[hours]
you,earning,[dollars]
I,mean,[world]
children,spend,[hours]
three,have,[car]
100,have,"[AIDS, HIV]"
we,need,"[that, to, come, up, with, solutions, for]"
we,need,"[that, to, be, training, our, engineers, ,, our, designers, ,, our, business, people]"
we,need,"[that, to, find]"
I,have,[areas]
we,address,[that]
One,creating,[technologies]
people,find,[way]
they,doing,[it]
they,make,[that]
we,need,"[to, create, technologies, for, poor, farmers, to, add, value, to, their, own, crops]"
we,need,"[to, rethink, our, development, strategies]"
we,promoting,[campaigns]
them,stop,"[being, farmers]"
we,need,"[to, think, about, how, we, can, do, that, effectively]"
We,need,"[to, work, with, the, people, in, these, communities, and, give, them, the, resources, and, the, tools, that, they, need, to, solve, their, own, problems]"
they,need,"[that, to, solve, their, own, problems]"
We,doing,[it]
we,need,"[to, create, this, future]"
we,need,"[to, start, doing, it, now]"
someone,has,[question]
communities,maintain,"[water, systems]"
they,treat,[them]
One,looking,[ability]
One,improving,[ability]
you,need,"[to, find, entrepreneurs, ,, or, venture, capitalists]"
you,need,[what]
you,got,[what]
you,use,[models]
you,use,[that]
We,have,[students]
you,have,"[to, do, things, with, a, long, time, frame, ,]"
you,expect,"[to, get, something, done, in, a, year, or, two, years]"
