,doc,subject,verb,object
649,3,they,use,[this]
650,3,sectors,like,"[to, see, how, the, world, is, changing]"
651,3,this,take,[place]
652,3,we,using,[data]
653,3,we,have,[data]
654,3,we,used,[it]
655,3,information,include,[statistics]
656,3,we,saw,"[changing, in, the, world]"
657,3,they,are,"[nourishment, prices]"
658,3,they,take,[nourishment]
659,3,people,put,[prices]
660,3,we,have,[databases]
661,3,we,have,"[design, tools]"
662,3,more,added,"[design, tools]"
663,3,we,started,[venture]
664,3,they,warn,[you]
665,3,we,started,"[to, write, software, which, could, link, the, data, like, this]"
666,3,which,link,[data]
667,3,it,took,"[person, years]"
668,3,we,produced,[animations]
669,3,you,take,[data]
670,3,you,put,[it]
671,3,we,liberating,"[u.n, ., data]"
672,3,we,need,[what]
673,3,we,copy,[data]
674,3,we,get,[it]
675,3,we,hear,[what]
676,3,i,done,[anthropology]
677,3,we,give,[data]
678,3,we,like,"[what, to, see]"
679,3,people,use,"[design, tool]"
680,3,i,have,[news]
681,3,i,have,[news]
682,3,we,do,[it]
683,3,we,need,"[to, see, it]"
684,3,i,like,"[to, end, up, by, showing, the, internet, users, per, 1,000]"
685,3,we,access,[variables]
686,3,it,takes,[time]
687,3,you,get,[variable]
688,3,you,like,"[to, have]"
689,3,you,understand,[them]
690,3,statisticians,like,[it]
691,3,this,show,[reality]
692,3,we,have,"[to, have, statistical, ,, analytical, methods]"
693,3,countries,lifting,[more]
694,4,i,have,"[to, tell, you, i, 'm, both, challenged, and, excited]"
695,4,i,get,[chance]
696,4,i,do,[weekends]
697,4,i,do,[more]
698,4,i,coach,[people]
699,4,you,learn,[language]
700,4,you,got,[it]
701,4,you,did,[it]
702,4,you,need,[that]
703,4,i,do,[what]
704,4,i,need,[motivation]
705,4,i,do,[what]
706,4,i,want,"[to, know, why, you, do, what, you, do]"
707,4,you,do,[what]
708,4,that,drives,[you]
709,4,you,running,[pattern]
710,4,all,have,[minds]
711,4,most,have,[minds]
712,4,we,know,"[how, to, think]"
713,4,we,rationalize,[anything]
714,4,those,play,[game]
715,4,i,want,"[to, know, what, 's, driving, you]"
716,4,what,driving,[you]
717,4,i,like,"[what, to, invite, you, to, do, by, the, end, of, this, talk]"
718,4,you,contribute,[more]
719,4,we,understand,[people]
720,4,we,appreciate,[them]
721,4,we,create,[kinds]
722,4,that,stop,[some]
723,4,we,face,[that]
724,4,they,going,"[to, get, magnified, by, the, very, technology, that, connects, us]"
725,4,that,connects,[us]
726,4,intersection,create,[view]
727,4,everybody,understands,[everybody]
728,4,everybody,appreciates,[everybody]
729,4,i,had,[obsession]
730,4,what,makes,[difference]
731,4,i,hired,"[to, produce, the, result, now]"
732,4,i,done,[it]
733,4,i,get,"[phone, call]"
734,4,they,get,"[phone, call]"
735,4,i,got,"[to, do, something, right, now]"
736,4,nothing,matters,"[to, do, something, right, now]"
737,4,i,get,"[phone, call]"
738,4,child,going,"[to, commit, suicide]"
739,4,i,got,"[to, do, something]"
740,4,i,lost,[one]
741,4,i,get,[calls]
742,4,you,make,[change]
743,4,i,looking,"[to, see, what, is, shaping, the, person, 's, ability, to, contribute, ,, to, do, something, beyond, themselves]"
744,4,what,shaping,[ability]
745,4,everyone,mastered,[which]
746,4,you,take,[invisible]
747,4,we,know,[rules]
748,4,you,write,[code]
749,4,you,get,[results]
750,4,you,know,[game]
751,4,i,had,[laboratory]
752,4,you,given,[everything]
753,4,you,not,"[dollar, computer]"
754,4,you,gave,[love]
755,4,you,know,[some]
756,4,that,contribute,[most]
757,4,we,got,"[to, ask, ourselves]"
758,4,that,shapes,[us]
759,4,most,do,[that]
760,4,you,bought,[that]
761,4,past,equals,[future]
762,4,we,know,[what]
763,4,we,have,[what]
764,4,you,know,[something]
765,4,you,use,[it]
766,4,we,got,"[to, remind, ourselves]"
767,4,you,ask,[people]
768,4,you,failed,"[to, achieve, something, significant, in, your, life]"
769,4,you,ask,[people]
770,4,you,achieve,[something]
771,4,you,fail,"[to, achieve]"
772,4,they,tell,[you]
773,4,i,have,[manager]
774,4,you,have,[money]
775,4,you,correct,[me]
776,4,i,mean,[what]
777,4,you,have,[emotion]
778,4,i,experienced,[that]
779,4,you,beat,[ass]
780,4,me,tell,[him]
781,4,he,do,[what]
782,4,we,watched,[debate]
783,4,that,blocked,[ability]
784,4,i,know,[people]
785,4,that,wanted,"[to, vote, in, your, direction]"
786,4,you,know,[aye]
787,4,we,get,[emotion]
788,4,ourselves,do,[anything]
789,4,you,have,[money]
790,4,you,find,[way]
791,4,people,tell,[us]
792,4,they,tell,[bunch]
793,4,they,tell,[us]
794,4,we,have,[resources]
795,4,you,take,[look]
796,4,they,accomplished,[that]
797,4,he,broken,[pattern]
798,4,i,appreciated,[energy]
799,4,i,tell,[that]
800,4,what,determines,[resources]
801,4,decisions,shape,[destiny]
802,4,decisions,shape,[destiny]
803,4,you,have,"[to, decide, what, you, 're, going, to, focus, on]"
804,4,you,going,"[what, to, focus, on]"
805,4,you,decide,"[to, focus]"
806,4,you,give,[meaning]
807,4,meaning,produces,[emotion]
808,4,god,punishing,[me]
809,4,god,rewarding,[me]
810,4,we,going,"[what, to, do]"
