,0
atrophied,7
atrophy,4
atta,3
attach,33
attached,81
attaches,7
attaching,2
attachment,25
attachments,7
attack,228
attacked,50
attacker,12
attacking,30
attacks,102
attain,7
attainable,2
attained,4
attainment,4
attains,3
attempt,118
attempted,33
attempting,24
attempts,42
attenborough,9
attend,29
attendance,12
attendant,9
attendants,4
attended,20
attendees,6
attending,24
attends,3
attention,511
attentional,4
attentions,3
attentive,5
attentiveness,2
attenuate,2
attenuation,3
attest,2
attic,7
attitude,70
attitudes,41
attorney,29
attorneys,10
attract,54
attracted,33
attracting,17
attraction,25
attractive,64
attractiveness,6
attracts,8
attributable,6
attribute,18
attributed,17
attributes,30
attribution,2
attrition,5
attuned,5
atwood,4
au,6
aubrey,5
auction,14
audacious,22
audacity,14
auden,3
audible,8
audience,671
audiences,66
audio,61
audit,9
audited,3
auditing,4
audition,8
auditioned,4
auditioning,3
auditions,4
auditorium,18
auditors,3
auditory,26
audits,2
audubon,3
augment,14
augmentation,11
augmented,46
augmenting,4
augments,2
august,45
augustine,10
aung,4
aunt,43
auntie,10
aunties,4
aunts,5
aura,20
aurochs,9
aurora,17
auschwitz,11
auspices,2
austen,6
austere,2
austerity,10
austin,17
australia,113
australian,28
australians,9
australopithecine,4
australopithecus,3
austria,18
austrian,9
austro,2
authentic,48
authentically,6
authentication,4
authenticity,32
author,61
authored,6
authoring,3
authoritarian,33
authoritarianism,12
authoritative,6
authorities,57
authority,101
authorization,8
authorized,4
authors,37
authorship,6
autism,158
autistic,51
auto,28
autobiographical,12
autobiography,8
autocracy,3
autocratic,3
autodesk,8
autograph,3
autoimmune,7
automaker,2
automata,2
automate,10
automated,36
automatic,37
automatically,98
automation,20
automaton,2
automobile,46
automobiles,24
automotive,13
autonomic,4
autonomous,79
autonomously,14
autonomy,48
autopilot,6
autopsy,7
autumn,11
av,22
avail,8
availability,24
available,389
avalanche,3
avant,5
avatar,30
avatars,10
avenue,26
avenues,8
average,468
averaged,4
averages,6
averaging,6
averse,10
aversion,10
aversive,3
avert,10
averted,5
avian,25
aviation,17
avid,5
avidly,2
avionics,2
aviv,12
avoid,172
avoidance,14
avoided,14
avoiding,35
avoids,6
avuncular,2
aw,12
await,4
awaited,3
awaiting,5
awaits,7
awake,40
awaken,4
awakened,5
awakening,8
awakens,3
award,40
awarded,15
awards,20
aware,220
awareness,92
away,1596
awe,47
awesome,105
awful,114
awfully,8
awhile,5
awkward,49
awkwardly,3
awkwardness,10
awning,3
awoke,2
awry,6
aww,6
awww,2
axe,14
axelrod,4
axes,22
axillary,3
axiomatic,3
axis,102
axle,2
axon,2
axonal,2
axons,4
ayahuasca,6
aye,16
ayers,3
ayn,5
azerbaijan,9
azure,2
ba,17
baba,9
babbage,9
babble,5
babe,7
babel,3
babes,2
babies,231
baboon,4
baboons,3
baby,460
babylon,16
babylonian,8
babysitter,3
babysitting,3
bach,14
bachelor,11
bacillus,4
back,4255
backbone,10
backbreaking,2
backdoor,4
backdoors,3
backdrop,6
backed,28
backer,2
background,176
backgrounds,32
backing,17
backlash,6
backlit,5
backlog,3
backpack,24
backpacked,2
backpacking,3
backpacks,4
backs,35
backseat,9
backseats,2
backside,7
backstage,15
backstop,2
backstory,2
backstreet,2
backtrack,2
backup,34
backups,3
backward,17
backwards,88
backyard,40
backyards,9
bacon,15
bacteria,334
bacterial,42
bacterias,3
bacterium,30
bad,1013
badass,10
badasses,2
badge,17
badges,3
badlands,4
badly,64
baffin,2
baffled,4
baffling,3
bag,91
bagel,2
baggage,9
baghdad,14
bags,72
